season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
1,1,Pilot,2016-09-19,8.0,3687,Newly-deceased Eleanor Shellstrop is sent to the Good Place but only by mistake; Eleanor is determined to become a better person in her afterlife with help from friends Chidi and Janet.
1,2,Flying,2016-09-19,7.6,3242,Eleanor tries to prove to Chidi that she's worthy of his help; Tahani and Jianyu try to help Michael cope with a mysterious flaw in his neighborhood.
1,3,Tahani Al-Jamil,2016-09-22,8.0,3073,Chidi starts giving Eleanor formal lessons in ethics -- the first lesson is to be kind to your neighbor; Michael and Janet assist Chidi in finding a new hobby.
1,4,Jason Mendoza,2016-09-29,7.9,2934,Eleanor has a hard time remaining hidden; Michael asks Tahani to assist a neighbor in finding her true purpose.
1,5,Category 55 Emergency Doomsday Crisis,2016-10-06,8.0,2823,Teaching Eleanor about ethics becomes a full-time job for Chidi; Michael and Janet must deal with an emergency.
1,6,What We Owe to Each Other,2016-10-13,7.9,2766,"Eleanor is enlisted to help Michael with an important task that could determine her fate in the Good Place. Meanwhile, Chidi agrees to be the third wheel in an effort to help out his friend."
1,7,The Eternal Shriek,2016-10-20,8.4,2799,"Eleanor and Chidi find that the only way to save Michael from going to ""The Eternal Shriek"" ( part of the Bad Place) is to deactivate Janet. Since she is programmed to answer any question, Janet tells them exactly how to do it."
1,8,Most Improved Player,2016-10-27,8.5,2787,"Michael has a private meeting with Eleanor. Meanwhile, Chidi, who has been harboring a secret, contemplates what to do."
1,9,...Someone Like Me as a Member,2016-11-03,8.1,2625,"Michael's skills are put to the test when he attempts to sort out an unprecedented situation. Meanwhile, Chidi makes a connection elsewhere, much to the dismay of Eleanor, while Janet shows a different side of herself."
1,10,Chidi's Choice,2017-01-05,8.3,2629,"Michael tasks Chidi with making an important decision, while Eleanor makes a personal discovery and Jianyu makes a big announcement."
1,11,What's My Motivation,2017-01-12,8.1,2536,Eleanor and Tahani hatch a plan as Michael makes a surprising discovery. Chidi confides in Eleanor when he learns some interesting news.
1,12,Mindy St. Claire,2017-01-19,8.4,2703,"Chidi and Tahani help Michael as he faces his first biggest challenge yet; Eleanor, Jianyu and Janet face a huge decision; Eleanor and her friends think about their fates."
1,13,Michael's Gambit,2017-01-19,9.5,4733,"Shawn has decided that Fake Eleanor, Chidi, Jason and Tahani must decide among themselves in thirty minutes which two of them should go to The Bad Place. Chaos and confusion ensues."
2,1,Everything Is Great!,2017-09-20,8.6,2798,"After Michael erases their memories, Eleanor, Chidi, Tahani and Jason find themselves in the Good Place again, but Eleanor finds a clue she left for herself and tries to put everything together."
2,2,Dance Dance Resolution,2017-09-20,8.6,2673,Michael continues working out the kinks in his plan and Eleanor discovers a secret.
2,3,Team Cockroach,2017-10-05,8.1,2406,"Michael looks at things from a different angle as Eleanor, Chidi, Tahani and Jason try to make a collective decision."
2,4,Existential Crisis,2017-10-12,8.0,2405,Michael experiences an existential crisis; Tahani throws a dinner party; Eleanor reflects on her childhood.
2,5,The Trolley Problem,2017-10-19,8.7,2652,"Chidi and Eleanor tackle a famous ethical dilemma, leading to a conflict with Michael; Tahani confides in Janet."
2,6,Janet and Michael,2017-10-26,8.2,2384,"When the neighborhood experiences a small glitch, Michael has to resolve the issue with Janet before it gets out of control."
2,7,Derek,2017-11-02,7.9,2326,Janet creates a problem for Michael; Tahani and Jason plan a wedding; Eleanor reveals a secret to Chidi.
2,8,Leap to Faith,2018-01-04,8.5,2394,"Michael gets a surprise visitor; Eleanor, Chidi, Tahani and Jason try to solve a riddle."
2,9,Best Self,2018-01-11,8.5,2347,"Michael gets into a bind; Eleanor has an idea that leads Chidi, Tahani, Jason and even Janet to put their feelings on the line."
2,10,"Rhonda, Diana, Jake, and Trent",2018-01-18,8.9,2673,"Eleanor, Chidi, Tahani, Janet and Jason go to a place with potentially lasting implications."
2,11,The Burrito,2018-01-25,8.9,2570,"Eleanor, Chidi, Tahani and Jason consider how much they have (or haven't) improved; Michael must deal with the consequences of his recent actions."
2,12,Somewhere Else,2018-02-01,9.0,2789,Michael makes a plea; Eleanor looks to take the high road; Michael tries to pull a rabbit out of a hat.
3,1,Everything Is Bonzer!,2018-09-27,8.2,2314,"Michael prevents the deaths of Eleanor, Chidi, Tahani and Jason, hoping a second chance at life will allow them to become better people."
3,2,The Brainy Bunch,2018-10-04,7.7,2071,Michael is forced to take drastic measures when his grand scheme hits a snag.
3,3,The Snowplow,2018-10-11,7.6,2032,An announcement from someone in the group threatens to tear them apart.
3,4,Jeremy Bearimy,2018-10-18,8.3,2177,The group explores the three main branches of ethical thought.
3,5,The Ballad of Donkey Doug,2018-10-25,7.5,2010,Jason visits with some people from his past while Chidi gets help in resolving a problem.
3,6,A Fractured Inheritance,2018-11-01,7.8,1992,"Eleanor makes a startling discovery that tests her resolve, Tahani looks to make amends and Janet does some bonding."
3,7,The Worst Possible Use of Free Will,2018-11-08,8.1,1922,Eleanor recalls some forgotten events from her past.
3,8,Don't Let the Good Life Pass You By,2018-11-15,8.2,1945,Michael and Janet take an important journey. Eleanor ponders whether she should share a secret.
3,9,Janet(s),2018-12-06,9.1,2854,"With Janet's help, Michael hatches a plan."
3,10,The Book of Dougs,2019-01-10,8.0,1839,"Michael's resolve is put to the test. Meanwhile, Jason wrestles with his feelings and Chidi surprises Eleanor."
3,11,Chidi Sees the Time-Knife,2019-01-17,8.2,1855,"Eleanor and the gang meet the judge at the crossroads of all dimensions, time and space to plead their case and Janet makes a reconnection."
3,12,Pandemonium,2019-01-24,8.6,2139,Michael's crisis forces Eleanor to assume the title of the neighborhood architect. Tahani makes a discovery about the new humans.
4,1,A Girl from Arizona,2019-09-26,7.5,1878,"With Eleanor assuming the role of the architect, the group adapts to the challenges facing them when four test subjects inhabit a new neighborhood under their supervision."
4,2,A Girl from Arizona Part 2,2019-10-03,7.7,1737,"Eleanor, Michael, Janet and Tahani have their hands full when the new residents begin to show their true colors. Jason receives some unsettling news."
4,3,Chillaxing,2019-10-10,7.5,1702,Michael and Eleanor discover something troubling and turn to an unusual source for help; Tahani lends her expertise to assist with one of the new residents.
4,4,"Tinker, Tailor, Demon, Spy",2019-10-17,8.1,1745,Uncertainty abounds when an unexpected visitor arrives.
4,5,Employee of the Bearimy,2019-10-24,7.8,1650,Michael and Jason hatch a plan. Eleanor learns firsthand the difficulties of running the neighborhood.
4,6,A Chip Driver Mystery,2019-10-31,7.4,1690,One of the new residents creates a division in the ranks.
4,7,Help Is Other People,2019-11-07,8.3,1762,"On the last day of the experiment, Chidi is faced with one final ethical dilemma."
4,8,The Funeral to End All Funerals,2019-11-14,8.5,1798,The group awaits the judge's final decision on the fate of human existence.
4,9,The Answer,2019-11-21,8.7,2084,"In an attempt to plan a better future, Chidi considers his past."
4,10,"You've Changed, Man",2020-01-09,8.1,1656,"As the Judge keeps searching for the device to reboot the Earth in Janets' voids, the 'soul squad' tries to come up with a new afterlife system."
4,11,"Mondays, Am I Right?",2020-01-16,7.8,1612,Michael runs some tests and Chidi gets some good advice from Jason.
4,12,Patty,2020-01-23,8.6,1891,The group makes some new friends.
4,13,Whenever You're Ready,2020-01-30,9.6,4789,Michael works with the Joint Council of Afterlife Affairs to smooth out kinks in the system. Jason and Tahani move on. Eleanor tries to influence Chidi.
